Year,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Intensity,Total Deaths,Natural Disaster
1927.0,4.0,3.0,7.6,0.0,JAPAN,SW. HONSHU ISLAND,35.6,135.1,11.3,17.0,0.5,3022.0,Earthquake and Landslide
1929.0,2.0,3.0,7.5,0.0,NEW ZEALAND,TASMAN SEA,-41.75,172.25,2.5,2.0,1.5,17.0,Earthquake and Landslide
1930.0,3.0,3.0,5.2,0.0,USA,S. CALIFORNIA,34.03,-118.643,3.05,3.0,-0.5,1.0,Earthquake and Landslide
1931.0,4.0,3.0,7.7,2.0,NEW ZEALAND,N. NEW ZEALAND,-39.772,176.025,15.0,5.0,0.0,261.0,Earthquake and Landslide
1942.0,4.0,3.0,8.2,0.0,PERU,S. PERU,-15.0,-76.0,2.0,3.0,1.0,30.0,Earthquake and Landslide
1946.0,4.0,3.0,8.6,11.0,USA,"UNIMAK ISLAND, AK",53.492,-162.832,42.0,621.0,4.0,168.0,Earthquake and Landslide
1946.0,4.0,3.0,7.3,1.0,CANADA,BRITISH COLUMBIA,49.87,-124.92,9.0,5.0,2.0,,Earthquake and Landslide
1947.0,3.0,3.0,7.1,0.0,NEW ZEALAND,OFF COAST OF NORTH ISLAND,-38.85,178.87,10.0,10.0,3.0,,Earthquake and Landslide
1947.0,3.0,3.0,6.9,0.0,GREECE,"PELOPONNESUS, GREECE",37.0,22.0,1.0,1.0,2.0,3.0,Earthquake and Landslide
1953.0,4.0,3.0,6.4,2.0,FIJI,FIJI ISLANDS,-18.3,178.2,15.0,31.0,1.0,7.0,Earthquake and Landslide
1958.0,4.0,3.0,7.8,2.0,USA,"SE. ALASKA, AK",58.37,-136.665,524.6,17.0,5.0,5.0,Earthquake and Landslide
1964.0,4.0,3.0,9.2,20.0,USA,"PRINCE WILLIAM SOUND, AK",61.017,-147.648,51.8,426.0,3.5,139.0,Earthquake and Landslide
1970.0,4.0,3.0,7.3,0.0,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.907,145.471,3.0,3.0,0.5,18.0,Earthquake and Landslide
1971.0,2.0,3.0,7.0,0.0,PAPUA NEW GUINEA,BISMARCK SEA,-6.5,146.6,1.8,1.0,0.5,,Earthquake and Landslide
1972.0,4.0,3.0,7.6,0.0,USA,"SE. ALASKA, AK",56.82,-135.685,0.1,3.0,-2.0,,Earthquake and Landslide
1975.0,4.0,3.0,7.7,1.0,USA,HAWAII,19.451,-155.033,14.3,76.0,3.0,2.0,Earthquake and Landslide
1980.0,4.0,3.0,7.7,0.0,ALGERIA,EL ASNAM,36.195,1.354,0.7,6.0,2.0,5000.0,Earthquake and Landslide
1992.0,4.0,3.0,7.8,9.0,INDONESIA,FLORES SEA,-8.48,121.896,26.2,111.0,2.7,2500.0,Earthquake and Landslide
1995.0,4.0,3.0,6.9,0.0,INDONESIA,TIMOR SEA,-8.452,125.049,4.0,2.0,1.5,11.0,Earthquake and Landslide
1995.0,4.0,3.0,6.5,1.0,GREECE,GULF OF CORINTH: AIYION,38.401,22.283,1.0,2.0,3.0,26.0,Earthquake and Landslide
1995.0,4.0,3.0,6.8,0.0,JAPAN,RYUKYU ISLANDS,28.094,130.148,1.5,16.0,0.5,,Earthquake and Landslide
1933.0,4.0,6.0,6.0,1.0,RUSSIA,"KHARIMKOTAN, N. KURIL ISLANDS",49.12,154.508,9.0,2.0,2.0,2.0,Volcano
1933.0,1.0,9.0,6.3,0.0,USA,S. CALIFORNIA,33.616,-117.966,0.1,2.0,-3.0,120.0,Meterological
